"location","county","date","visitor","algaeobserved","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","datetime","latitude","longitude","sampledepth","picurl"
"Lake Marian - Boat Ramp","Osceola",2023-10-17,"SEROC","No","Pending","Pending","Pending",,,,,,,,,,,"Pending",,2023-10-17 16:05:00,27.8727994882719,-81.0520343479997,0.3,
"Lake Monroe - Center (LMAC)","Volusia",2023-10-16,"SJRWMD","No","mixed algae; no dominant species in sample","No","Pending",,,,,,,,,,,"Pending","Windy",2023-10-16 16:10:00,28.83496,-81.27091,0.3,
"Lake Virginia - Dinky Dock","Orange",2023-10-16,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Pending",,,,,,,,,,,"Pending","Sunny with cool morning temps",2023-10-16 15:24:00,28.5938287631571,-81.3444713468777,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7981/attachments/5261?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Minnehaha - E Dock","Orange",2023-10-16,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Pending",,,,,,,,,,,"Pending","Cool and breezy",2023-10-16 14:47:00,28.6320750055721,-81.3516979553874,0.25,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7983/attachments/5265?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Jesup - Center (OW-CTR)","Seminole",2023-10-16,"SJRWMD","No","Co-dominant taxa: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","Pending",,,,,,,,,,,"Pending","Windy",2023-10-16 14:19:00,28.7268,-81.2111,0.3,
"Pioneer Lake - NE Shore","Volusia",2023-10-16,"CEROC","No","Dominant taxon: Microcystis aeruginosa","Yes","Pending",,,,,,,,,,,"Pending","Cool with a breeze",2023-10-16 13:47:00,28.8838114310325,-81.2421645317983,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7982/attachments/5263?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Doctors Lake - Doctors Lake Park","Clay",2023-10-12,"NEROC","No","mixed algae; no dominant species in sample","No","Pending",,,,,,,,,,,"Pending","Rain and strong wind conditions during time of sampling event.",2023-10-12 16:20:00,30.1150826828495,-81.7468674607357,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7977/attachments/5258?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Georges Lake - Boat Ramp","Putnam",2023-10-12,"NEROC","No","Dominant taxon: Planktolyngbya limnetica","Yes","Pending",,,,,,,,,,,"Pending","Raining at site location during sampling event.
",2023-10-12 14:55:00,29.8023547105454,-81.8455694481947,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7976/attachments/5255?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"M-canal just north of Blue Cypress Lake","IndianRiver",2023-10-11,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-10-11 14:31:00,27.75748945,-80.74363861,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7975/attachments/5253?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Blue Cypress Lake - Center (BCL)","IndianRiver",2023-10-11,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-10-11 13:57:00,27.72633168,-80.75331502,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7974/attachments/5251?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
